SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Condo/Coop,5571 Corum Ct #15 (Unable to map),San Diego,CA,92130,933990,4,4.0,Carmel Valley,2595,,2016,2,Garage,61,Active,,,,,933990,,,http://www.redfin.com/CA/San-Diego/5571-Corum-Ct-92130/unit-15/home/104469173,San Diego County's Regional Multiple Listing Service (SANDICOR),160018973,"ColRich California Realty, Inc",N,Y,,,false
MLS Listing,Vacant Land,13165 Caminito Mendiola,San Diego,CA,92130,1100000,,,SD - San Diego,,446054,,0,,51,Active,,,,,1100000,,,http://www.redfin.com/CA/San-Diego/13165-Caminito-Mendiola-92130/home/104499479,California Real Estate Technology Services (CARETS),OC16081617,Equestrian Real Estate,N,Y,32.9574423,-117.1811501,false
MLS Listing,Single Family Residential,13564 Peach Tree Way,San Diego,CA,92130,1065990,5,4.0,Carmel Valley,3190,,2016,2,Garage,32,Active,,,,,1065990,,,http://www.redfin.com/CA/San-Diego/13564-Peach-Tree-Way-92130/home/105504846,San Diego County's Regional Multiple Listing Service (SANDICOR),160024964,"Taylor Morrison Services, Inc",N,Y,32.966327,-117.181699,false
New Construction Plan,Single Family Residential,Elms Residence One,San Diego,CA,92130,995990,4,3.0,Elms,2788,,,2,Garage,156,Active,,,,2016-05-17,985000,,,http://www.redfin.com/CA/San-Diego/Elms/Elms-Residence-One/home/102439818,Builder Digital eXperience (BDX),Plan-1198318,NewHomeSource.com,N,Y,32.966327,-117.181699,false
MLS Listing,Single Family Residential,13335 Glencliff Way,San Diego,CA,92130,1699000,4,4.0,Carmel Valley,3071,15298,1989,6,Garage,54,Active,,,,,1699000,1989-03-24,534500.0,http://www.redfin.com/CA/San-Diego/13335-Glencliff-Way-92130/home/4470270,San Diego County's Regional Multiple Listing Service (SANDICOR),160020376,Coldwell Banker Res. Brokerage,N,Y,32.96022,-117.217415,false
MLS Listing,Single Family Residential,5731 Meadows Del Mar,San Diego,CA,92130,3150000,5,6.0,East del Mar,6000,16000,2001,6,Garage,17,Active,,,,,3150000,2002-03-15,2010000.0,http://www.redfin.com/CA/San-Diego/5731-Meadows-Del-Mar-92130/home/4524944,San Diego County's Regional Multiple Listing Service (SANDICOR),160027974,"Weichert, REALTORS Distinctive",N,Y,32.939872,-117.189285,false
MLS Listing,Single Family Residential,11897 tierra del sur,san diego,CA,92130,2499000,5,6.0,Carmel Valley,4976,,2015,7,Garage,16,Active,,,,,2499000,,,http://www.redfin.com/CA/San-Diego/11897-Tierra-Del-Sur-92130/home/67188519,San Diego County's Regional Multiple Listing Service (SANDICOR),160028125,Canter Brokerage,N,Y,32.9299804,-117.2315964,false
MLS Listing,Single Family Residential,13370 Pantera Rd,San Diego,CA,92130,1175000,3,2.0,Carmel Valley,1620,,1986,4,Garage,30,Active,,,,2016-05-24,1215000,2006-02-17,1050000.0,http://www.redfin.com/CA/San-Diego/13370-Pantera-Rd-92130/home/4459077,San Diego County's Regional Multiple Listing Service (SANDICOR),160025272,Willis Allen Real Estate,N,Y,32.9596188,-117.2405708,false
MLS Listing,Single Family Residential,10634 Hunters Glen Dr,San Diego,CA,92130,1595000,6,4.0,Carmel Valley,3700,,2000,5,Garage,14,Active,,,,,1595000,2001-03-29,735500.0,http://www.redfin.com/CA/San-Diego/10634-Hunters-Glen-Dr-92130/home/6315298,San Diego County's Regional Multiple Listing Service (SANDICOR),160028798,Coldwell Banker Res. Brokerage,N,Y,32.92557,-117.199036,false
New Construction Home,Single Family Residential,13978 Centella Way,San Diego,CA,92130,997650,4,3.0,Casabella,2487,,2016,3,Garage,27,Active,,,,,997650,,,http://www.redfin.com/CA/San-Diego/13978-Centella-Way-92130/home/105523219,Builder Digital eXperience (BDX),1227907,NewHomeSource.com,N,Y,32.965194,-117.176861,false
